id,L,S,M_surface,M_tags,morph_expand
1,janamejaya,janamejayaḥ,janamejaya,SNM,Case = Nominative; Gender = Masculine; Number = Singular
2,vac,uvāca,vac,SPs3In,Mood = Indicative; Number = Singular; Person = 3; Tense = Past
3,evam,evam,evam,,Note: Probably indeclinable
4,dyūta,dyūta,dyūta,Cp,Compound
5,ji,jitāḥ,ji,PNPaM,Case = Nominative; Gender = Masculine; Number = Plural; VerbForm = Part
6,pārtha,pārthāḥ,pārtha,PNM,Case = Nominative; Gender = Masculine; Number = Plural
7,kopay,kopitāḥ,kopay,PNPaM,Case = Nominative; Gender = Masculine; Number = Plural; VerbForm = Part
8,ca,ca,ca,,Note: Probably indeclinable
9,durātman,durātmabhiḥ,durātman,PIM,Case = Instrumental; Gender = Masculine; Number = Plural
10,dhārtarāṣṭra,dhārtarāṣṭraiḥ,dhārtarāṣṭra,PIM,Case = Instrumental; Gender = Masculine; Number = Plural
11,saha,saha,saha,,Note: Probably indeclinable
12,amātya,amātyaiḥ,amātya,PIM,Case = Instrumental; Gender = Masculine; Number = Plural
13,nikṛti,nikṛtyā,nikṛti,SIF,Case = Instrumental; Gender = Feminine; Number = Singular
14,dvijasattama,dvijasattama,dvijasattama,SVM,Case = Vocative; Gender = Masculine; Number = Singular
15,śrāvay,śrāvitāḥ,śrāvay,PNPaM,Case = Nominative; Gender = Masculine; Number = Plural; VerbForm = Part
16,paruṣa,paruṣāḥ,paruṣa,PAF,Case = Accusative; Gender = Feminine; Number = Plural
17,vāc,vācaḥ,vāc,PAF,Case = Accusative; Gender = Feminine; Number = Plural
18,sṛj,sṛjadbhiḥ,sṛj,PIPaPrM,Case = Instrumental; Gender = Masculine; Number = Plural; Tense = Present; VerbForm = Part
19,vaira,vairam,vaira,SANe,Case = Accusative; Gender = Neuter; Number = Singular
20,uttama,uttamam,uttama,SANe,Case = Accusative; Gender = Neuter; Number = Singular
21,ka,kim,ka,SANe,Case = Accusative; Gender = Neuter; Number = Singular
22,kṛ,akurvanta,kṛ,P3ImIn,Mood = Imperative; Mood = Indicative; Number = Plural; Person = 3
23,kauravya,kauravyāḥ,kauravya,PNM,Case = Nominative; Gender = Masculine; Number = Plural
24,mad,mama,mad,SG,Case = Genitive; Number = Singular
25,pūrva,pūrva,pūrva,Cp,Compound
26,pitāmaha,pitāmahāḥ,pitāmaha,PNM,Case = Nominative; Gender = Masculine; Number = Plural
27,katham,katham,katham,,Note: Probably indeclinable
28,ca,ca,ca,,Note: Probably indeclinable
29,aiśvarya,aiśvarya,aiśvarya,Cp,Compound
30,vibhraṃś,vibhraṣṭāḥ,vibhraṃś,PNPaM,Case = Nominative; Gender = Masculine; Number = Plural; VerbForm = Part
31,sahas,sahasā,sahas,SINe,Case = Instrumental; Gender = Neuter; Number = Singular
32,duḥkha,duḥkham,duḥkha,SANe,Case = Accusative; Gender = Neuter; Number = Singular
33,i,eyuṣaḥ,i,PAPaPsM,Case = Accusative; Gender = Masculine; Number = Plural; Tense = Past; VerbForm = Part
34,vana,vane,vana,SLNe,Case = Locative; Gender = Neuter; Number = Singular
35,vihṛ,vijahrire,vihṛ,PPs3In,Mood = Indicative; Number = Plural; Person = 3; Tense = Past
36,pārtha,pārthāḥ,pārtha,PNM,Case = Nominative; Gender = Masculine; Number = Plural
37,śakra,śakra,śakra,Cp,Compound
38,pratima,pratima,pratima,Cp,Compound
39,tejas,tejasaḥ,tejas,PNM,Case = Nominative; Gender = Masculine; Number = Plural
40,ka,ke,ka,PNM,Case = Nominative; Gender = Masculine; Number = Plural
41,ca,ca,ca,,Note: Probably indeclinable
42,enad,enān,enad,PAM,Case = Accusative; Gender = Masculine; Number = Plural
43,anuvṛt,anvavartanta,anuvṛt,P3ImIn,Mood = Imperative; Mood = Indicative; Number = Plural; Person = 3
